+-----+---------------------------+---------------------+--------------+------------------------+-----------------------+------------------------+-------------------+-------------------------+-------------------------+
| Lp. |           Title           |      Equations      | Observations | All minimal conflicts  | All minimal diagnosis |   Minimal conflicts    | Minimal diagnosis | Minimal conflicts - GPT | Minimal diagnosis - GPT |
|     |                           |   M3: c * e = x03   |    c = 3     |     A1, A2, M1, M3     |        A1, M3         |     A1, A2, M1, M3     |      A1, M3       |                         |                         |
|     |                           |  A1: x01 + x02 = f  |    d = 3     |                        |        A2, M1         |                        |      A2, M1       |                         |                         |
|     |                           |  A2: x02 + x03 = g  |    e = 2     |                        |        A2, M2         |                        |      A2, M2       |                         |                         |
|     |                           |                     |    f = 10    |                        |        M1, M2         |                        |      M1, M2       |                         |                         |
|     |                           |                     |    g = 14    |                        |        M1, M3         |                        |      M1, M3       |                         |                         |
|     |                           |                     |              |                        |        M2, M3         |                        |      M2, M3       |                         |                         |
|  6  |     Example 3 only A      |   A1: a + b = x01   |    a = 1     |       A3, A4, A6       |        A1, A3         |                        |                   |         No JSON         |                         |
|     |                           |   A2: b + c = x02   |    b = 1     |     A1, A2, A5, A7     |        A1, A4         |                        |                   |                         |                         |
|     |                           |   A3: c + d = x03   |    c = 1     |                        |        A1, A6         |                        |                   |                         |                         |
|     |                           |   A4: d + e = x04   |    d = 1     |                        |        A2, A3         |                        |                   |                         |                         |
|     |                           | A5: x01 + x02 = x05 |    e = 1     |                        |        A2, A4         |                        |                   |                         |                         |
|     |                           |  A6: x03 + x04 = g  |    f = 1     |                        |        A2, A6         |                        |                   |                         |                         |
|     |                           |   A7: x05 + f = h   |    g = 4     |                        |        A3, A5         |                        |                   |                         |                         |
|     |                           |                     |    h = 5     |                        |        A3, A7         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, A5         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, A7         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A5, A6         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A6, A7         |                        |                   |                         |                         |
|  7  |     Example 3 only A      |   A1: a + b = x01   |    a = 1     |       A3, A4, A6       |        A1, A3         |       A3, A4, A6       |        A3         |         No JSON         |                         |
|     |                           |   A2: b + c = x02   |    b = 1     |     A1, A2, A5, A7     |        A1, A4         |                        |        A4         |                         |                         |
|     |                           |   A3: c + d = x03   |    c = 1     |                        |        A1, A6         |                        |        A6         |                         |                         |
|     |                           |   A4: d + e = x04   |    d = 1     |                        |        A2, A3         |                        |                   |                         |                         |
|     |                           | A5: x01 + x02 = x05 |    e = 1     |                        |        A2, A4         |                        |                   |                         |                         |
|     |                           |  A6: x03 + x04 = g  |    f = 1     |                        |        A2, A6         |                        |                   |                         |                         |
|     |                           |   A7: x05 + f = h   |    g = 5     |                        |        A3, A5         |                        |                   |                         |                         |
|     |                           |                     |    h = 5     |                        |        A3, A7         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, A5         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, A7         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A5, A6         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A6, A7         |                        |                   |                         |                         |
|  8  |     Example 3 only A      |   A1: a + b = x01   |    a = 1     |       A3, A4, A6       |        A1, A3         |     A1, A2, A5, A7     |        A1         |         No JSON         |                         |
|     |                           |   A2: b + c = x02   |    b = 1     |     A1, A2, A5, A7     |        A1, A4         |                        |        A2         |                         |                         |
|     |                           |   A3: c + d = x03   |    c = 1     |                        |        A1, A6         |                        |        A5         |                         |                         |
|     |                           |   A4: d + e = x04   |    d = 1     |                        |        A2, A3         |                        |        A7         |                         |                         |
|     |                           | A5: x01 + x02 = x05 |    e = 1     |                        |        A2, A4         |                        |                   |                         |                         |
|     |                           |  A6: x03 + x04 = g  |    f = 1     |                        |        A2, A6         |                        |                   |                         |                         |
|     |                           |   A7: x05 + f = h   |    g = 4     |                        |        A3, A5         |                        |                   |                         |                         |
|     |                           |                     |    h = 4     |                        |        A3, A7         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, A5         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, A7         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A5, A6         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A6, A7         |                        |                   |                         |                         |
|  9  |     Example 3 only A      |   A1: a + b = x01   |    a = 1     |       A3, A4, A6       |        A1, A3         |       A3, A4, A6       |      A1, A3       |         No JSON         |                         |
|     |                           |   A2: b + c = x02   |    b = 1     |     A1, A2, A5, A7     |        A1, A4         |     A1, A2, A5, A7     |      A1, A4       |                         |                         |
|     |                           |   A3: c + d = x03   |    c = 1     |                        |        A1, A6         |                        |      A1, A6       |                         |                         |
|     |                           |   A4: d + e = x04   |    d = 1     |                        |        A2, A3         |                        |      A2, A3       |                         |                         |
|     |                           | A5: x01 + x02 = x05 |    e = 1     |                        |        A2, A4         |                        |      A2, A4       |                         |                         |
|     |                           |  A6: x03 + x04 = g  |    f = 1     |                        |        A2, A6         |                        |      A2, A6       |                         |                         |
|     |                           |   A7: x05 + f = h   |    g = 5     |                        |        A3, A5         |                        |      A3, A5       |                         |                         |
|     |                           |                     |    h = 4     |                        |        A3, A7         |                        |      A3, A7       |                         |                         |
|     |                           |                     |              |                        |        A4, A5         |                        |      A4, A5       |                         |                         |
|     |                           |                     |              |                        |        A4, A7         |                        |      A4, A7       |                         |                         |
|     |                           |                     |              |                        |        A5, A6         |                        |      A5, A6       |                         |                         |
|     |                           |                     |              |                        |        A6, A7         |                        |      A6, A7       |                         |                         |
| 10  |     Example 4 only M      |   M1: a * b = x01   |    a = 1     |       M3, M4, M6       |        M1, M3         |                        |                   |         No JSON         |                         |
|     |                           |   M2: b * c = x02   |    b = 1     |     M1, M2, M5, M7     |        M1, M4         |                        |                   |                         |                         |
|     |                           |   M3: c * d = x03   |    c = 1     |                        |        M1, M6         |                        |                   |                         |                         |
|     |                           |   M4: d * e = x04   |    d = 1     |                        |        M2, M3         |                        |                   |                         |                         |
|     |                           | M5: x01 * x02 = x05 |    e = 1     |                        |        M2, M4         |                        |                   |                         |                         |
|     |                           |  M6: x03 * x04 = g  |    f = 1     |                        |        M2, M6         |                        |                   |                         |                         |
|     |                           |   M7: x05 * f = h   |    g = 1     |                        |        M3, M5         |                        |                   |                         |                         |
|     |                           |                     |    h = 1     |                        |        M3, M7         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M4, M5         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M4, M7         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M5, M6         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M6, M7         |                        |                   |                         |                         |
| 11  |     Example 4 only M      |   M1: a * b = x01   |    a = 1     |       M3, M4, M6       |        M1, M3         |     M1, M2, M5, M7     |        M1         |         No JSON         |                         |
|     |                           |   M2: b * c = x02   |    b = 1     |     M1, M2, M5, M7     |        M1, M4         |                        |        M2         |                         |                         |
|     |                           |   M3: c * d = x03   |    c = 1     |                        |        M1, M6         |                        |        M5         |                         |                         |
|     |                           |   M4: d * e = x04   |    d = 1     |                        |        M2, M3         |                        |        M7         |                         |                         |
|     |                           | M5: x01 * x02 = x05 |    e = 1     |                        |        M2, M4         |                        |                   |                         |                         |
|     |                           |  M6: x03 * x04 = g  |    f = 1     |                        |        M2, M6         |                        |                   |                         |                         |
|     |                           |   M7: x05 * f = h   |    g = 1     |                        |        M3, M5         |                        |                   |                         |                         |
|     |                           |                     |    h = 2     |                        |        M3, M7         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M4, M5         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M4, M7         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M5, M6         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M6, M7         |                        |                   |                         |                         |
| 12  |     Example 4 only M      |   M1: a * b = x01   |    a = 1     |       M3, M4, M6       |        M1, M3         |       M3, M4, M6       |        M3         |         No JSON         |                         |
|     |                           |   M2: b * c = x02   |    b = 1     |     M1, M2, M5, M7     |        M1, M4         |                        |        M4         |                         |                         |
|     |                           |   M3: c * d = x03   |    c = 1     |                        |        M1, M6         |                        |        M6         |                         |                         |
|     |                           |   M4: d * e = x04   |    d = 1     |                        |        M2, M3         |                        |                   |                         |                         |
|     |                           | M5: x01 * x02 = x05 |    e = 1     |                        |        M2, M4         |                        |                   |                         |                         |
|     |                           |  M6: x03 * x04 = g  |    f = 1     |                        |        M2, M6         |                        |                   |                         |                         |
|     |                           |   M7: x05 * f = h   |    g = 2     |                        |        M3, M5         |                        |                   |                         |                         |
|     |                           |                     |    h = 1     |                        |        M3, M7         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M4, M5         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M4, M7         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M5, M6         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M6, M7         |                        |                   |                         |                         |
| 13  |     Example 4 only M      |   M1: a * b = x01   |    a = 1     |       M3, M4, M6       |        M1, M3         |       M3, M4, M6       |      M1, M3       |         No JSON         |                         |
|     |                           |   M2: b * c = x02   |    b = 1     |     M1, M2, M5, M7     |        M1, M4         |     M1, M2, M5, M7     |      M1, M4       |                         |                         |
|     |                           |   M3: c * d = x03   |    c = 1     |                        |        M1, M6         |                        |      M1, M6       |                         |                         |
|     |                           |   M4: d * e = x04   |    d = 1     |                        |        M2, M3         |                        |      M2, M3       |                         |                         |
|     |                           | M5: x01 * x02 = x05 |    e = 1     |                        |        M2, M4         |                        |      M2, M4       |                         |                         |
|     |                           |  M6: x03 * x04 = g  |    f = 1     |                        |        M2, M6         |                        |      M2, M6       |                         |                         |
|     |                           |   M7: x05 * f = h   |    g = 2     |                        |        M3, M5         |                        |      M3, M5       |                         |                         |
|     |                           |                     |    h = 2     |                        |        M3, M7         |                        |      M3, M7       |                         |                         |
|     |                           |                     |              |                        |        M4, M5         |                        |      M4, M5       |                         |                         |
|     |                           |                     |              |                        |        M4, M7         |                        |      M4, M7       |                         |                         |
|     |                           |                     |              |                        |        M5, M6         |                        |      M5, M6       |                         |                         |
|     |                           |                     |              |                        |        M6, M7         |                        |      M6, M7       |                         |                         |
| 14  |  Example 5 mixed A and M  |   A1: a + b = x01   |    a = 1     |       A2, A4, M2       |        A1, A2         |                        |                   |         No JSON         |                         |
|     |                           |   M1: b * c = x02   |    b = 1     |     A1, A3, M1, M3     |        A1, A4         |                        |                   |                         |                         |
|     |                           |   M2: c * d = x03   |    c = 1     |                        |        A1, M2         |                        |                   |                         |                         |
|     |                           |   A2: d + e = x04   |    d = 1     |                        |        A2, A3         |                        |                   |                         |                         |
|     |                           | A3: x01 + x02 = x05 |    e = 1     |                        |        A2, M1         |                        |                   |                         |                         |
|     |                           |  A4: x03 + x04 = g  |    f = 1     |                        |        A2, M3         |                        |                   |                         |                         |
|     |                           |   M3: x05 * f = h   |    g = 3     |                        |        A3, A4         |                        |                   |                         |                         |
|     |                           |                     |    h = 3     |                        |        A3, M2         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, M1         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, M3         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M1, M2         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M2, M3         |                        |                   |                         |                         |
| 15  |  Example 5 mixed A and M  |   A1: a + b = x01   |    a = 1     |       A2, A4, M2       |        A1, A2         |       A2, A4, M2       |        A2         |         No JSON         |                         |
|     |                           |   M1: b * c = x02   |    b = 1     |     A1, A3, M1, M3     |        A1, A4         |                        |        A4         |                         |                         |
|     |                           |   M2: c * d = x03   |    c = 1     |                        |        A1, M2         |                        |        M2         |                         |                         |
|     |                           |   A2: d + e = x04   |    d = 1     |                        |        A2, A3         |                        |                   |                         |                         |
|     |                           | A3: x01 + x02 = x05 |    e = 1     |                        |        A2, M1         |                        |                   |                         |                         |
|     |                           |  A4: x03 + x04 = g  |    f = 1     |                        |        A2, M3         |                        |                   |                         |                         |
|     |                           |   M3: x05 * f = h   |    g = 4     |                        |        A3, A4         |                        |                   |                         |                         |
|     |                           |                     |    h = 3     |                        |        A3, M2         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, M1         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, M3         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M1, M2         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M2, M3         |                        |                   |                         |                         |
| 16  |  Example 5 mixed A and M  |   A1: a + b = x01   |    a = 1     |       A2, A4, M2       |        A1, A2         |       A2, A4, M2       |      A1, A2       |         No JSON         |                         |
|     |                           |   M1: b * c = x02   |    b = 1     |     A1, A3, M1, M3     |        A1, A4         |     A1, A3, M1, M3     |      A1, A4       |                         |                         |
|     |                           |   M2: c * d = x03   |    c = 1     |                        |        A1, M2         |                        |      A1, M2       |                         |                         |
|     |                           |   A2: d + e = x04   |    d = 1     |                        |        A2, A3         |                        |      A2, A3       |                         |                         |
|     |                           | A3: x01 + x02 = x05 |    e = 1     |                        |        A2, M1         |                        |      A2, M1       |                         |                         |
|     |                           |  A4: x03 + x04 = g  |    f = 1     |                        |        A2, M3         |                        |      A2, M3       |                         |                         |
|     |                           |   M3: x05 * f = h   |    g = 4     |                        |        A3, A4         |                        |      A3, A4       |                         |                         |
|     |                           |                     |    h = 4     |                        |        A3, M2         |                        |      A3, M2       |                         |                         |
|     |                           |                     |              |                        |        A4, M1         |                        |      A4, M1       |                         |                         |
|     |                           |                     |              |                        |        A4, M3         |                        |      A4, M3       |                         |                         |
|     |                           |                     |              |                        |        M1, M2         |                        |      M1, M2       |                         |                         |
|     |                           |                     |              |                        |        M2, M3         |                        |      M2, M3       |                         |                         |
| 17  |  Example 5 mixed A and M  |   A1: a + b = x01   |    a = 1     |       A2, A4, M2       |        A1, A2         |     A1, A3, M1, M3     |        A1         |         No JSON         |                         |
|     |                           |   M1: b * c = x02   |    b = 1     |     A1, A3, M1, M3     |        A1, A4         |                        |        A3         |                         |                         |
|     |                           |   M2: c * d = x03   |    c = 1     |                        |        A1, M2         |                        |        M1         |                         |                         |
|     |                           |   A2: d + e = x04   |    d = 1     |                        |        A2, A3         |                        |        M3         |                         |                         |
|     |                           | A3: x01 + x02 = x05 |    e = 1     |                        |        A2, M1         |                        |                   |                         |                         |
|     |                           |  A4: x03 + x04 = g  |    f = 1     |                        |        A2, M3         |                        |                   |                         |                         |
|     |                           |   M3: x05 * f = h   |    g = 3     |                        |        A3, A4         |                        |                   |                         |                         |
|     |                           |                     |    h = 4     |                        |        A3, M2         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, M1         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, M3         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M1, M2         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M2, M3         |                        |                   |                         |                         |
| 18  |         Example 6         |   A1: a + b = x01   |    a = 1     |   A1, A2, A4, M1, M2   |        A1, A2         |                        |                   |         No JSON         |                         |
|     |                           |   A2: d + e = x02   |    b = 1     |   A2, A3, M2, M3, M4   |        A1, A3         |                        |                   |                         |                         |
|     |                           |   A3: g + h = x03   |    c = 1     | A1, A3, A4, M1, M3, M4 |        A1, M2         |                        |                   |                         |                         |
|     |                           |  M1: c * x01 = x04  |    d = 1     |                        |        A1, M3         |                        |                   |                         |                         |
|     |                           |  M2: f * x02 = x05  |    e = 1     |                        |        A1, M4         |                        |                   |                         |                         |
|     |                           |  M3: i * x03 = x06  |    f = 1     |                        |        A2, A3         |                        |                   |                         |                         |
|     |                           |  A4: x04 + x05 = j  |    g = 1     |                        |        A2, A4         |                        |                   |                         |                         |
|     |                           |  M4: x05 * x06 = k  |    h = 1     |                        |        A2, M1         |                        |                   |                         |                         |
|     |                           |                     |    i = 1     |                        |        A2, M3         |                        |                   |                         |                         |
|     |                           |                     |    j = 4     |                        |        A2, M4         |                        |                   |                         |                         |
|     |                           |                     |    k = 4     |                        |        A3, A4         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A3, M1         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A3, M2         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, M2         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, M3         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, M4         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M1, M2         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M1, M3         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M1, M4         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M2, M3         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M2, M4         |                        |                   |                         |                         |
| 19  |         Example 6         |   A1: a + b = x01   |    a = 1     |   A1, A2, A4, M1, M2   |        A1, A2         |   A1, A2, A4, M1, M2   |        A1         |         No JSON         |                         |
|     |                           |   A2: d + e = x02   |    b = 1     |   A2, A3, M2, M3, M4   |        A1, A3         | A1, A3, A4, M1, M3, M4 |        A4         |                         |                         |
|     |                           |   A3: g + h = x03   |    c = 1     | A1, A3, A4, M1, M3, M4 |        A1, M2         |                        |        M1         |                         |                         |
|     |                           |  M1: c * x01 = x04  |    d = 1     |                        |        A1, M3         |                        |      A2, A3       |                         |                         |
|     |                           |  M2: f * x02 = x05  |    e = 1     |                        |        A1, M4         |                        |      A2, M3       |                         |                         |
|     |                           |  M3: i * x03 = x06  |    f = 1     |                        |        A2, A3         |                        |      A2, M4       |                         |                         |
|     |                           |  A4: x04 + x05 = j  |    g = 1     |                        |        A2, A4         |                        |      A3, M2       |                         |                         |
|     |                           |  M4: x05 * x06 = k  |    h = 1     |                        |        A2, M1         |                        |      M2, M3       |                         |                         |
|     |                           |                     |    i = 1     |                        |        A2, M3         |                        |      M2, M4       |                         |                         |
|     |                           |                     |    j = 3     |                        |        A2, M4         |                        |                   |                         |                         |
|     |                           |                     |    k = 4     |                        |        A3, A4         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A3, M1         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A3, M2         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, M2         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, M3         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, M4         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M1, M2         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M1, M3         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M1, M4         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M2, M3         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M2, M4         |                        |                   |                         |                         |
| 20  |         Example 6         |   A1: a + b = x01   |    a = 1     |   A1, A2, A4, M1, M2   |        A1, A2         |   A2, A3, M2, M3, M4   |        A3         |         No JSON         |                         |
|     |                           |   A2: d + e = x02   |    b = 1     |   A2, A3, M2, M3, M4   |        A1, A3         | A1, A3, A4, M1, M3, M4 |        M3         |                         |                         |
|     |                           |   A3: g + h = x03   |    c = 1     | A1, A3, A4, M1, M3, M4 |        A1, M2         |                        |        M4         |                         |                         |
|     |                           |  M1: c * x01 = x04  |    d = 1     |                        |        A1, M3         |                        |      A1, A2       |                         |                         |
|     |                           |  M2: f * x02 = x05  |    e = 1     |                        |        A1, M4         |                        |      A1, M2       |                         |                         |
|     |                           |  M3: i * x03 = x06  |    f = 1     |                        |        A2, A3         |                        |      A2, A4       |                         |                         |
|     |                           |  A4: x04 + x05 = j  |    g = 1     |                        |        A2, A4         |                        |      A2, M1       |                         |                         |
|     |                           |  M4: x05 * x06 = k  |    h = 1     |                        |        A2, M1         |                        |      A4, M2       |                         |                         |
|     |                           |                     |    i = 1     |                        |        A2, M3         |                        |      M1, M2       |                         |                         |
|     |                           |                     |    j = 4     |                        |        A2, M4         |                        |                   |                         |                         |
|     |                           |                     |    k = 3     |                        |        A3, A4         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A3, M1         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A3, M2         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, M2         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, M3         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        A4, M4         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M1, M2         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M1, M3         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M1, M4         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M2, M3         |                        |                   |                         |                         |
|     |                           |                     |              |                        |        M2, M4         |                        |                   |                         |                         |
| 21  |         Example 6         |   A1: a + b = x01   |    a = 1     |   A1, A2, A4, M1, M2   |        A1, A2         |   A1, A2, A4, M1, M2   |      A1, A2       |         No JSON         |                         |
|     |                           |   A2: d + e = x02   |    b = 1     |   A2, A3, M2, M3, M4   |        A1, A3         |   A2, A3, M2, M3, M4   |      A1, A3       |                         |                         |
|     |                           |   A3: g + h = x03   |    c = 1     | A1, A3, A4, M1, M3, M4 |        A1, M2         | A1, A3, A4, M1, M3, M4 |      A1, M2       |                         |                         |
|     |                           |  M1: c * x01 = x04  |    d = 1     |                        |        A1, M3         |                        |      A1, M3       |                         |                         |
|     |                           |  M2: f * x02 = x05  |    e = 1     |                        |        A1, M4         |                        |      A1, M4       |                         |                         |
|     |                           |  M3: i * x03 = x06  |    f = 1     |                        |        A2, A3         |                        |      A2, A3       |                         |                         |
|     |                           |  A4: x04 + x05 = j  |    g = 1     |                        |        A2, A4         |                        |      A2, A4       |                         |                         |
|     |                           |  M4: x05 * x06 = k  |    h = 1     |                        |        A2, M1         |                        |      A2, M1       |                         |                         |
|     |                           |                     |    i = 1     |                        |        A2, M3         |                        |      A2, M3       |                         |                         |
|     |                           |                     |    j = 3     |                        |        A2, M4         |                        |      A2, M4       |                         |                         |
|     |                           |                     |    k = 3     |                        |        A3, A4         |                        |      A3, A4       |                         |                         |
|     |                           |                     |              |                        |        A3, M1         |                        |      A3, M1       |                         |                         |
|     |                           |                     |              |                        |        A3, M2         |                        |      A3, M2       |                         |                         |
|     |                           |                     |              |                        |        A4, M2         |                        |      A4, M2       |                         |                         |
|     |                           |                     |              |                        |        A4, M3         |                        |      A4, M3       |                         |                         |
|     |                           |                     |              |                        |        A4, M4         |                        |      A4, M4       |                         |                         |
|     |                           |                     |              |                        |        M1, M2         |                        |      M1, M2       |                         |                         |
|     |                           |                     |              |                        |        M1, M3         |                        |      M1, M3       |                         |                         |
|     |                           |                     |              |                        |        M1, M4         |                        |      M1, M4       |                         |                         |
|     |                           |                     |              |                        |        M2, M3         |                        |      M2, M3       |                         |                         |
|     |                           |                     |              |                        |        M2, M4         |                        |      M2, M4       |                         |                         |
+-----+---------------------------+---------------------+--------------+------------------------+-----------------------+------------------------+-------------------+-------------------------+-------------------------+
